from_state,to_state,transition_count,replay_count,player_count,pct_of_all_transitions
356,91,1287,1167,1211,0.0088
70,245,1285,1137,1199,0.0088
68,85,1283,1159,1216,0.0088
91,2,1282,1168,1235,0.0088
348,349,1277,1042,1131,0.0087
181,244,1276,1116,1170,0.0087
70,24,1270,1086,1134,0.0087
39,76,1267,1171,1216,0.0087
39,44,1259,897,923,0.0086
18,53,1254,1122,1171,0.0086
368,363,1254,1118,1172,0.0086
56,90,1247,1148,1190,0.0085
40,182,1244,1080,1126,0.0085
74,16,1243,1070,1123,0.0085
17,39,1230,1054,1089,0.0084
85,39,1215,1102,1146,0.0083
27,90,1212,1096,1155,0.0083
39,29,1206,1078,1127,0.0082
235,18,1198,1064,1107,0.0082
39,63,1195,952,983,0.0082
356,85,1192,975,1011,0.0081
27,86,1190,1079,1131,0.0081
57,178,1188,1037,1090,0.0081
351,90,1188,1049,1069,0.0081
91,1,1186,1099,1147,0.0081
74,90,1180,1064,1113,0.0081
63,79,1178,1084,1121,0.008
15,53,1174,1001,1041,0.008
21,88,1160,1049,1088,0.0079
234,18,1157,997,1043,0.0079
352,88,1156,1066,1114,0.0079
16,53,1151,1015,1043,0.0079
67,87,1147,1056,1094,0.0078
89,200,1141,1042,1088,0.0078
18,44,1141,1038,1073,0.0078
70,226,1138,1021,1068,0.0078
90,87,1133,1036,1079,0.0077
85,27,1133,1025,1071,0.0077
71,20,1132,1011,1058,0.0077
29,90,1131,1032,1072,0.0077
255,178,1129,984,1026,0.0077
32,350,1119,997,1022,0.0076
21,76,1114,1020,1054,0.0076
76,90,1111,1018,1052,0.0076
212,80,1111,980,1047,0.0076
194,178,1100,1009,1050,0.0075
358,87,1099,993,1021,0.0075
56,24,1098,974,1007,0.0075
56,79,1098,996,1032,0.0075
70,90,1092,997,1021,0.0075
82,76,1084,972,1004,0.0074
40,18,1082,794,815,0.0074
24,86,1082,991,1033,0.0074
29,85,1081,998,1034,0.0074
55,14,1080,979,1004,0.0074
63,90,1079,963,1010,0.0074
65,42,1077,984,1012,0.0074
56,82,1077,979,1020,0.0074
217,221,1068,865,882,0.0073
257,14,1068,969,1008,0.0073
88,0,1062,952,989,0.0073
245,246,1061,931,956,0.0072
196,39,1058,942,972,0.0072
56,226,1057,965,1003,0.0072
63,76,1056,960,1004,0.0072
16,63,1043,895,923,0.0071
60,178,1041,938,976,0.0071
361,226,1040,962,995,0.0071
235,226,1036,956,991,0.0071
63,87,1033,946,979,0.0071
193,196,1029,932,969,0.007
14,76,1026,950,990,0.007
57,15,1024,927,956,0.007
39,60,1023,797,822,0.007
43,76,1020,931,967,0.007
235,15,1020,936,968,0.007
18,360,1016,925,960,0.0069
356,86,1015,913,945,0.0069
56,237,1003,781,918,0.0068
23,245,1001,585,597,0.0068
182,226,998,920,953,0.0068
79,24,998,940,965,0.0068
14,64,997,908,934,0.0068
74,212,996,902,935,0.0068
42,226,995,917,944,0.0068
354,87,994,925,950,0.0068
200,79,994,909,939,0.0068
70,76,992,918,952,0.0068
189,14,989,899,931,0.0068
341,342,982,873,909,0.0067
42,212,980,883,917,0.0067
76,39,980,911,943,0.0067
357,15,978,897,931,0.0067
73,88,976,892,914,0.0067
342,343,973,865,902,0.0066
42,245,967,894,925,0.0066
24,79,963,890,922,0.0066
26,85,957,889,917,0.0065
17,18,956,769,802,0.0065
87,1,949,888,926,0.0065
39,64,947,876,902,0.0065
180,88,942,884,909,0.0064
21,19,941,777,799,0.0064
199,15,939,858,888,0.0064
85,354,937,801,822,0.0064
358,90,936,872,894,0.0064
43,181,935,846,879,0.0064
199,226,935,811,831,0.0064
199,18,929,857,879,0.0063
233,15,929,836,854,0.0063
193,197,928,856,878,0.0063
18,226,922,849,883,0.0063
50,226,922,847,871,0.0063
18,60,922,854,883,0.0063
15,29,920,845,874,0.0063
226,223,919,856,874,0.0063
